enabled,symbol,name,market,exchange,currency,category,update_policy,priority,note
true,002230,科大讯飞,CN,SZSE,CNY,ai,daily,A,
true,688256,寒武纪,CN,SSE,CNY,ai,daily,A,
true,300308,中际旭创,CN,SZSE,CNY,ai,daily,A,
false,TBD,长鑫存储,CN,,CNY,ai,manual,C,待确认代码或替代标的

true,LI,理想汽车,US,NASDAQ,USD,auto_oem,daily,A,
true,2015,理想汽车-W,HK,HKEX,HKD,auto_oem,weekly,A,
true,NIO,蔚来,US,NYSE,USD,auto_oem,daily,B,

true,300750,宁德时代,CN,SZSE,CNY,auto_supply,daily,A,
true,002920,德赛西威,CN,SZSE,CNY,auto_supply,daily,A,
true,MBLY,Mobileye,US,NASDAQ,USD,auto_supply,daily,B,
true,603501,韦尔股份,CN,SSE,CNY,auto_supply,daily,A,
true,2498,速腾聚创,HK,HKEX,HKD,auto_supply,weekly,B,
true,9660,地平线,HK,HKEX,HKD,auto_supply,weekly,B,
